country,year,population_adult
France,2017,51240408
France,2018,51479439
France,2019,51777619
France,2020,52074476
France,2021,52397302
France,2022,52675034
France,2023,52943887
Italy,1960,33990700
Italy,1961,34246600
Italy,1962,34464900
Italy,1963,34695500
Italy,1964,34888100
Italy,1965,35054800
Italy,1966,35377000
Italy,1967,35693400
Italy,1968,36021700
Italy,1969,36255500
Italy,1970,36487300
Italy,1971,36672500
Italy,1972,36842885
Italy,1973,37064795
Italy,1974,37300923
Italy,1975,37545702
Italy,1976,37784094
Italy,1977,38018803
Italy,1978,38255917
Italy,1979,38528110
Italy,1980,38823730
Italy,1981,39112084
Italy,1982,40555322
Italy,1983,40893662
Italy,1984,41269664
Italy,1985,41656951
Italy,1986,42035020
Italy,1987,42401116
Italy,1988,42768770
Italy,1989,43149096
Italy,1990,43516223
Italy,1991,43894299
Italy,1992,44702520
Italy,1993,45018513
Italy,1994,45330594
Italy,1995,45595815
Italy,1996,45815294
Italy,1997,46001472
Italy,1998,46154350
Italy,1999,46257469
Italy,2000,46348706
Italy,2001,46453168
Italy,2002,46564766
Italy,2003,46772440
Italy,2004,47185013
Italy,2005,47566960
Italy,2006,47749126
Italy,2007,47912349
Italy,2008,48336662
Italy,2009,48685798
Italy,2010,48928445
Italy,2011,49181995
Italy,2012,49369382
Italy,2013,49551787
Italy,2014,49662186
Italy,2015,49676531
Italy,2016,49634385
Italy,2017,49641482
Italy,2018,49627971
Italy,2019,49642513
Italy,2020,49618818
Italy,2021,49301760
Italy,2022,49221797
Italy,2023,49314704
Netherlands,1960,7258394
Netherlands,1961,7337067
Netherlands,1962,7435717
Netherlands,1963,7548613
Netherlands,1964,7657878
Netherlands,1965,7769121
Netherlands,1966,7954865
Netherlands,1967,8128676
Netherlands,1968,8257576
Netherlands,1969,8387634
Netherlands,1970,8520997
Netherlands,1971,8660121
Netherlands,1972,8800038
Netherlands,1973,8919736
Netherlands,1974,9044902
Netherlands,1975,9179032
Netherlands,1976,9340702
Netherlands,1977,9469651
Netherlands,1978,9606654
Netherlands,1979,9749519
Netherlands,1980,9901911
Netherlands,1981,10064298
Netherlands,1982,10206099
Netherlands,1983,10341705
Netherlands,1984,10484029
Netherlands,1985,10620004
Netherlands,1986,10756282
Netherlands,1987,10891034
Netherlands,1988,11037383
Netherlands,1989,11187140
Netherlands,1990,11319621
Netherlands,1991,11463195
Netherlands,1992,11592835
Netherlands,1993,11699539
Netherlands,1994,11788466
Netherlands,1995,11852135
Netherlands,1996,11908318
Netherlands,1997,11963053
Netherlands,1998,12030710
Netherlands,1999,12105605
Netherlands,2000,12182574
Netherlands,2001,12268841
Netherlands,2002,12350331
Netherlands,2003,12408305
Netherlands,2004,12460317
Netherlands,2005,12509726
Netherlands,2006,12554248
Netherlands,2007,12596671
Netherlands,2008,12660108
Netherlands,2009,12750010
Netherlands,2010,12852917
Netherlands,2011,12948303
Netherlands,2012,13039851
Netherlands,2013,13111489
Netherlands,2014,13186898
Netherlands,2015,13271702
Netherlands,2016,13360437
Netherlands,2017,13467405
Netherlands,2018,13582034
Netherlands,2019,13705605
Netherlands,2020,13854419
Netherlands,2021,13949486
Netherlands,2022,14073172
Netherlands,2023,14284704
Austria,1960,5050318
Austria,1961,5089509
Austria,1962,5113316
Austria,1963,5134979
Austria,1964,5156672
Austria,1965,5152771
Austria,1966,5163858
Austria,1967,5200917
Austria,1968,5235558
Austria,1969,5234145
Austria,1970,5241788
Austria,1971,5248622
Austria,1972,5274912
Austria,1973,5308773
Austria,1974,5346208
Austria,1975,5345638
Austria,1976,5345405
Austria,1977,5370885
Austria,1978,5404880
Austria,1979,5426710
Austria,1980,5457734
Austria,1981,5498617
Austria,1982,5554934
Austria,1983,5581000
Austria,1984,5620330
Austria,1985,5662788
Austria,1986,5703833
Austria,1987,5746433
Austria,1988,5787696
Austria,1989,5832985
Austria,1990,5893599
Austria,1991,5962740
Austria,1992,6038493
Austria,1993,6103389
Austria,1994,6144602
Austria,1995,6160537
Austria,1996,6167303
Austria,1997,6177776
Austria,1998,6187363
Austria,1999,6204132
Austria,2000,6234418
Austria,2001,6269933
Austria,2002,6335772
Austria,2003,6378392
Austria,2004,6427802
Austria,2005,6489270
Austria,2006,6548816
Austria,2007,6589770
Austria,2008,6630099
Austria,2009,6671868
Austria,2010,6706532
Austria,2011,6748738
Austria,2012,6797535
Austria,2013,6853384
Austria,2014,6918417
Austria,2015,6995393
Austria,2016,7091254
Austria,2017,7152756
Austria,2018,7197741
Austria,2019,7232189
Austria,2020,7270932
Austria,2021,7298755
Austria,2022,7338065
Austria,2023,7433485
Poland,1960,18028500
Poland,1961,0
Poland,1962,0
Poland,1963,0
Poland,1964,0
Poland,1965,19058200
Poland,1966,0
Poland,1967,0
Poland,1968,0
Poland,1969,0
Poland,1970,20916100
Poland,1971,0
Poland,1972,0
Poland,1973,0
Poland,1974,0
Poland,1975,22788929
Poland,1976,0
Poland,1977,0
Poland,1978,0
Poland,1979,0
Poland,1980,24489166
Poland,1981,0
Poland,1982,0
Poland,1983,0
Poland,1984,0
Poland,1985,25452479
Poland,1986,0
Poland,1987,0
Poland,1988,0
Poland,1989,0
Poland,1990,26137564
Poland,1991,26290566
Poland,1992,26449797
Poland,1993,26633595
Poland,1994,26840023
Poland,1995,27073799
Poland,1996,27321240
Poland,1997,27565627
Poland,1998,27825836
Poland,1999,28100414
Poland,2000,27981170
Poland,2001,28238248
Poland,2002,28550298
Poland,2003,28874243
Poland,2004,29180574
Poland,2005,29471233
Poland,2006,29708371
Poland,2007,29893059
Poland,2008,30070794
Poland,2009,30235010
Poland,2010,30223052
Poland,2011,30374047
Poland,2012,30495604
Poland,2013,30591470
Poland,2014,30645536
Poland,2015,30694169
Poland,2016,30710502
Poland,2017,30733866
Poland,2018,30720984
Poland,2019,30699486
Poland,2020,30675476
Poland,2021,29955558
Poland,2022,29778332
Poland,2023,29660850
Portugal,1960,5615700
Portugal,1961,5641039
Portugal,1962,5691110
Portugal,1963,5727470
Portugal,1964,5751150
Portugal,1965,5757660
Portugal,1966,5717590
Portugal,1967,5665050
Portugal,1968,5642730
Portugal,1969,5613040
Portugal,1970,5551270
Portugal,1971,5550412
Portugal,1972,5497120
Portugal,1973,5499630
Portugal,1974,5492680
Portugal,1975,5721580
Portugal,1976,6074830
Portugal,1977,6147530
Portugal,1978,6233260
Portugal,1979,6330830
Portugal,1980,6443990
Portugal,1981,6622092
Portugal,1982,6645921
Portugal,1983,6729781
Portugal,1984,6809400
Portugal,1985,6886504
Portugal,1986,6950684
Portugal,1987,7006888
Portugal,1988,7055333
Portugal,1989,7101443
Portugal,1990,7148776
Portugal,1991,7196318
Portugal,1992,7339941
Portugal,1993,7406435
Portugal,1994,7483796
Portugal,1995,7577857
Portugal,1996,7669467
Portugal,1997,7755732
Portugal,1998,7838073
Portugal,1999,7917983
Portugal,2000,8002695
Portugal,2001,8109248
Portugal,2002,8195876
Portugal,2003,8263572
Portugal,2004,8311895
Portugal,2005,8349220
Portugal,2006,8377722
Portugal,2007,8410058
Portugal,2008,8444697
Portugal,2009,8467522
Portugal,2010,8497185
Portugal,2011,8526139
Portugal,2012,8531817
Portugal,2013,8503505
Portugal,2014,8471931
Portugal,2015,8450836
Portugal,2016,8447778
Portugal,2017,8446904
Portugal,2018,8461793
Portugal,2019,8485624
Portugal,2020,8554178
Portugal,2021,8592573
Portugal,2022,8640106
Portugal,2023,8735107
Finland,1960,2777194
Finland,1961,2815031
Finland,1962,2825982
Finland,1963,2849608
Finland,1964,2877873
Finland,1965,2913525
Finland,1966,2955676
Finland,1967,3005447
Finland,1968,3059301
Finland,1969,3101366
Finland,1970,3121590
Finland,1971,3141792
Finland,1972,3194386
Finland,1973,3245047
Finland,1974,3295739
Finland,1975,3339582
Finland,1976,3377425
Finland,1977,3405234
Finland,1978,3432036
Finland,1979,3459485
Finland,1980,3487924
Finland,1981,3518208
Finland,1982,3553749
Finland,1983,3592172
Finland,1984,3627853
Finland,1985,3659707
Finland,1986,3687088
Finland,1987,3714112
Finland,1988,3737466
Finland,1989,3754780
